Login,Dvojnasobek,Suda cisla,Delitele,Faktorial,Ciferny soucet,Fibonacciho posloupnost,Nejvetsi spolecny delitel,Binarni zapis,Sachovnice,Vypis prvocisel,Pascaluv trojuhelnik,Mocniny dvojky,Tajna posloupnost,Soucet,Ctverec,Trojuhelnik,Pocet delitelu,Diamant,Cik-cak,Palindrom,Presmycky,Binarni cislo,Podmnoziny,Caesarova sifra,Velke X,Transpozicni sifra,Prvni pismena,Vsechny presmicky,Frekvencni analyza,Nejdelsi slovo
 U8543, 180, 109, 144, 252, 256, 3065, 493,,,,, 97,, 103,, 888, 100,,, 473,,,,,,,,,, 1048
 U8544, 39, 107, 93, 645,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8547, 39, 522, 111, 290, 141, 4400, 72,, 227,,, 139,, 2357, 1336, 699, 1167,,, 1196,,,,, 195,,,,,
 U8548, 113, 115, 93, 50, 136, 526, 101,, 2395,,, 99,, 63, 368, 1906, 181,,, 200,,,,,,,,, 535,
 U8550, 73, 65, 170, 54, 829,, 229,,,,, 199,, 75, 193,, 80,,,,,,, 338,,,,,,
 U8551, 23, 300, 855, 186,, 54, 751,, 273,,, 229,, 58, 111, 3653, 1421,,,,,,,,,,,,,
 U8554, 115, 1143, 1005, 760, 897, 1431, 5443, 2615, 2279, 2692,, 1916,, 962, 987, 1673, 2664,, 884, 1208,, 5239,,, 966,, 878,,, 1623
 U8555, 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8559, 188, 424, 343, 64,, 328, 291,, 1262,,, 105,, 90, 854, 410, 185,, 335,, 1459,,,, 417,,,,, 1381
 U8564, 30, 56, 40, 97, 113, 443, 209, 448, 162, 915, 385, 21, 259, 129, 120, 117, 46, 792, 168, 106, 350, 207,, 952, 171, 541, 153,, 566, 244
 U8574, 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8575, 141, 69, 39, 114,, 181, 247,,,,, 49,, 42,, 4117, 94,,,,,,,,,,,,,
 U8576, 51, 96, 43, 148,, 210, 86,, 185,,, 24,, 250,,, 109,,,,,,,,,,,,,
 U8577, 230, 1622, 414, 155,,,,,,, 255,,, 119,,,,,,,,,,,,,,,,
 U8578, 69, 106, 96, 294, 537, 750, 433, 3249, 1434,, 1089, 134, 345, 221, 687, 225, 153,, 285, 1191,,,,, 445,,,,, 631
 U8579, 111, 424, 171, 185, 1573, 581, 551, 559, 434, 1685, 1387, 354, 526, 103, 375, 173, 225, 1395,, 641,,,, 348,,,,, 587,
 U8589, 2181, 503, 709, 491,, 84,,,,,, 274,, 186,,,,,,,,,,,,,,,,
 U8592, 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8596, 28,, 50, 72,,,,,,,,,, 97,, 169, 253,,,,,,,, 162,,,,,
 U8597, 81,,, 151,,,,,,,,,,,, 243,,,,,,,,, 1096,,,,,
 U8601, 147, 121, 576,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8611, 145, 71, 204, 302, 309, 225, 201, 291,, 580,, 189,, 91,, 268, 111,,, 415,, 352,,,,,,, 510,
 U8626, 122,, 342,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8627, 65,, 61,,,,,,,,,,,,,, 63,,,,,,,,,,,,,
 U8628, 320, 70, 41, 58, 154, 98, 64, 191, 80, 1007, 471, 29, 285, 66, 231, 54, 65, 988, 207, 139, 554, 879, 2949, 376, 128, 355, 791, 7230, 341, 402
 U8630, 397, 55, 100, 61, 355, 397, 40,, 50,,, 66,, 55, 344, 773, 82,,, 223,,,,, 119,,,,,
 U8632,,, 186 72, 112,, 159, 151,, 206,,, 280,, 82,,, 48,,,,,,, 637,,,,,,
 U8633, 130, 48, 97, 225, 537,, 469,,,,, 227,, 141,, 226, 97,,, 436,,,,,,,,,,
 U8634, 83, 68, 169, 73, 79, 170, 230, 549, 401,, 478, 609,, 109, 151, 353, 93,, 554, 139, 273, 184,, 1061, 305, 494, 210,, 1319, 896
 U8635,,, 115 113, 272, 1690, 796, 226,, 184,,, 184,, 154, 1251, 268, 143,,, 576,,,,,,,,,,
 U8636, 68, 112, 216, 45, 65, 174, 63,,, 260, 858, 124, 201, 122, 314, 280, 165,,, 184, 3223,,, 872,, 342, 391,, 199,
 U8637, 95, 58, 30, 132, 1508, 177, 108,, 145,, 1054, 21,, 420, 261,, 60,,,,,,, 275,,,,, 572,
 U8639, 64, 164, 276, 1530, 470, 2335, 1357,, 922, 1400,, 188,, 246, 2675, 501, 226,,,,,,,, 678,,,,,
 U8640, 72, 62, 59, 296, 2308,, 963,,,,, 371,, 433,, 4455, 634,,,,,,,,,,,,,
 U8641, 23, 29, 68, 42, 67, 77, 237, 362, 208, 369, 269, 27, 171, 119, 71, 69, 32,, 139, 87, 256, 411,, 187, 201, 437, 326,, 309, 737
 U8642, 263, 140, 322, 67, 3843,, 838,,,,, 6431,, 114, 229,, 98,,,,,,,,,,,,,
 U8643, 1648, 179, 42, 67,, 156, 226,, 295,, 216, 354, 879, 229,, 1172, 338,,, 2624,,,,, 900,,,,,
 U8644, 168, 82, 134, 245, 663,,,,,,, 169,, 267,,,,,,,,,,,,,,,,
 U8663, 118, 103, 63, 56,, 406, 527,,,,, 118,, 1776,, 351, 115,,, 102,,,,,,,,,,
 U8664, 40, 58, 67, 22,,,,,,,, 107,, 288,,, 98,,,,,,,,,,,,,
 U8679, 407, 246, 155, 272, 1978, 2584, 1071,, 610,, 6593, 294,, 331, 655, 247, 210,,, 609,,,,, 320,,,,,
 U8684, 90, 210, 288, 795,, 39, 160,,,, 257, 38,, 171,,, 152,,,,,,,,,,,,,
 U8766, 96, 288, 204, 97,, 216, 305,,,,, 933, 2268, 1477,,, 77,,,,,,,,,,,,,
 U8771, 55, 104, 46, 119,, 543, 233,, 472,,, 405,, 145,, 253, 96,,, 201,,,,,,,,,,
 U8817, 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8822, 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8825, 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8826, 54, 221, 50, 262, 1207, 260, 483,,,,, 194,, 142,,, 257,,, 343,,,,,,,,,,
 U8830, 74, 204, 54, 92,,, 233,,,,, 189,, 1037,, 166, 283,,, 297,,,,,,,,,,
 U8833, 135, 175, 271, 169,,,,,,,, 377,, 249,,, 561,,,,,,,,,,,,,
 U8919, 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9027, 22, 38,,,,,,,,,,,,,,,,,, 61,,,,,,,,,,
 U9054, 70, 51, 68,,,,,,,,,,, 88,,,,,,,,,,,,,,,,
 U9056, 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9064, 39, 26, 27, 93,,,,,,,, 35, 242, 26,,,,,,,,,,,,,,,,
 U9126, 38, 42, 372,,,,,,,,, 143,, 39,,,,,,,,,,,,,,,,
 U9137, 90, 154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9144, 365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9147, 42, 260, 135, 69, 285,, 123,,,,, 134,, 61,, 251, 76,,, 163,,,,,,,,,,
 U9163, 26, 98, 115, 112,,,,,,,, 485,, 103,, 632, 70,,,,,,,,,,,,,
 U9174, 27, 21, 28, 161, 297, 238,,,,,, 114,, 58,, 68, 56,,, 143,,,,,,,,,,
 U9180, 281, 66, 66, 72, 591, 295, 365, 3330, 1846, 726, 2664, 130, 508, 69, 1041, 140, 526, 2172, 238, 188, 922, 1307,, 1508, 1487, 1067, 862,, 465, 278
 U9183, 21,, 48,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9234, 24,, 78,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9352, 69, 119, 97,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9503, 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9544, 781, 400,, 763, 1836,,,,,,, 213,, 1089,, 668,,,,,,,,,,,,,,
 U9549, 23, 26, 184, 100,,,,,,,,,, 109,,,,,,,,,,,,,,,,
 U9618, 102, 85, 46, 41, 87,,,,,,,,, 41, 152, 105,,,,,,,,,,,,,,
 U9647, 96, 141, 100, 250, 73,, 62,,,,, 224,, 89,, 82, 77,,,,,,,,,,,,,
 U9681, 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9711, 48,, 50,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9729, 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9742, 152, 311, 242, 730,, 560,,,,,, 87,, 381,, 217, 499,,,,,,,,,,,,,
 U9834, 20, 37, 90, 46,, 124, 109,, 488,,, 19,, 56,, 38, 49,, 208, 209,,,,, 303,,,,,
 U9835, 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9919, 115, 235, 92, 312, 321, 206,,, 240,, 2508, 89,, 96, 627, 218, 137,, 401, 307,,,,, 254,,,,,
 U9934, 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9973, 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9974, 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9976, 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U9984, 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10074, 52, 93, 180, 353, 12277, 231, 1334,, 284,,, 727,, 184,, 51, 540,, 173, 662,,,,, 362,,,,,
 U10266, 21, 46, 28, 162, 112, 119, 114,, 276,,, 103,, 29, 166, 80, 88,, 235, 79,,,,, 164,,,,,
 U10293, 29, 320, 377, 362,,,,,,,,,, 11311,,, 3226,,,,,,,,,,,,,
 U10318, 42, 95, 69, 192, 306,, 171,,,,, 189,, 47,, 61, 120,,, 606,,,,,,,,,,
 U10322, 50, 995, 482,,,,,,,,,,, 213,,,,,,,,,,,,,,,,
 U10338, 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10360, 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10376, 38,, 75,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10383, 24,, 84,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10386, 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10424, 88, 370, 238, 318, 1596, 1373, 2089,, 956,,, 283,, 119,, 100,,,,,,,,,,,,,,
 U10503, 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10550, 79, 49, 114, 120, 136, 185, 169,, 287,, 756, 103, 362, 59, 416, 120, 88,, 160, 217,,,,, 182,, 373,, 585,
 U10573, 53, 50, 54, 44,,,,,,,, 30,, 27,,, 63,,,,,,,,,,,,,
 U10588, 70, 98, 366,,,,,,,,, 188,,,,,,,,,,,,,,,,,,
 U10810, 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10816, 27, 125, 120, 242,, 404,,, 284, 369,, 28,, 103,, 106, 68,,, 981,,,, 886, 523,, 524,,, 846
 U10819,,, 170 141,,,,,,,,,,, 66,,,,,,,,,,,,,,,,
 U10821, 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10831, 43, 27, 71, 52, 37, 94, 147, 366, 254, 203, 543, 30, 262, 59, 886, 91, 64, 1556, 64, 207, 417, 276, 1217, 276, 157, 683, 266, 1183, 93, 227
 U10833, 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10841, 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10875, 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10934, 407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10959, 865, 90,,,,,,,,,, 193,,,,,,,,,,,,,,,,,,
 U11044, 89, 76, 263, 97,,,,,,,,,, 89,,, 177,,,,,,,,,,,,,
 U11104, 78, 177, 200, 68,, 144, 95,, 425,, 419, 362, 618, 67,, 138, 60, 353, 422, 795, 661,,,, 197, 143, 423,, 471,
 U11108, 53, 43, 52, 206, 152, 310, 120, 699, 243, 1923,, 17,, 59, 159, 71, 145,, 138, 1139,,,,, 778,, 846,,, 100
 U11111, 73, 101, 133, 42, 1243, 174, 271,, 137,,, 62,, 64, 609, 252, 65,, 566,,,,, 243,,,,, 473,
 U11120, 10,,,, 393,,,, 5054,,,,,,,,,,,,,,,,,,,,,
 U11127, 82, 353,,,,,,,,,,,, 275,,,,,,,,,,,,,,,,
 U11143, 40, 264, 233, 1529,,,,,,,, 1006,, 439,, 1397, 176,,,,,,,,,,,,,
 U11150, 18, 375,, 206,,, 66,, 97,, 408, 138,, 58,,,,,,,,,,,,,,,,
 U11188, 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11196, 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11198, 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11240, 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11251, 34, 119, 142, 397,,,,,,,, 65,, 297,,,,,,,,,,,,,,,,
 U11261, 187, 162, 25, 55, 135, 34, 323,, 98,,, 88,, 410, 1675, 36, 190,, 524,,,,,, 220,, 153,,,
 U11262, 794, 393, 1103, 368, 1246, 167, 60, 1175, 167, 462, 143, 84,, 2959,, 144,,,,,,,, 3164,,,,, 1387,
 U11279, 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11280, 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11283, 39, 90, 64, 123, 137, 301, 449,, 1578,,, 117, 462, 69,, 577, 64,, 380, 1049,,,,,,,,, 1169,
 U11305, 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11306, 69, 200, 63, 278, 418, 159, 394,, 304,,, 335,, 64, 424, 148, 72,, 156, 220,,,,, 253,,,,,
 U11336, 26, 51, 70, 41,,,,,,,, 45,, 64,,, 49,,,,,,,,,, 266,,, 166
 U11339, 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11408, 124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11412, 100, 178, 122, 67, 109, 254, 279,, 265,,, 105, 2330, 249, 576, 225, 145,, 193, 224,,,,, 188,, 521,,,
 U11549, 49, 53, 44, 205,,,,,,,, 716,, 58,, 173, 176,,,,,,,,,,,,,
 U11581, 86, 964, 83, 969, 730, 1247, 566,, 2314,,, 56,, 56, 1572, 421, 140,,, 1001,,,,, 559,,,,,
 U11593, 101, 131, 73, 76, 566, 695, 214, 490, 215, 1079, 69, 70, 547, 87, 381, 68, 62,,, 727,, 3815,,, 155, 645,,,,
 U11625, 53, 98, 571, 291,,,,,,,, 190,, 142,,, 280,,,,,,,,,,,,,
 U11630, 81, 39, 47,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11640, 15,,,, 56,,,,,,,,,,,,,,,,,,,,,,,,,
 U11641, 499, 270, 2305, 2101,, 157,,, 319, 820, 313, 1225,, 227, 5871, 2246, 2949,,, 2343,,,,, 1963,,,,,
 U11642, 78, 23, 61, 21, 87, 77, 102, 276, 296, 319,, 16, 212, 37, 262, 40, 65,, 508, 86,, 158,, 387, 115,, 122,, 213,
 U11643, 113, 59, 77, 77,, 728, 180,, 98,,, 111, 331, 133,,,, 779, 683, 223, 408,,, 434, 137,,,,,
 U11644, 54, 50, 104, 52, 1016, 323, 413, 405, 927,,, 110, 933, 81, 1263, 653, 64, 1554,, 1186, 1598, 215,, 827,,, 469,, 614, 552
 U11645, 865, 252, 352, 156, 981, 176, 360,, 550, 1899,, 287,, 235, 289, 361, 149,,, 1193,, 1779,,,,, 459,,,
 U11646, 100, 70, 68, 174, 216, 171, 509,, 257,,, 456,, 114,, 89, 234,, 1096, 187,,,,, 611,, 935,,,
 U11647, 97, 46, 191, 65, 1364, 517, 517,, 208,,, 71,, 101, 537, 29, 88,, 289, 723,,,,, 745,,,,,
 U11648, 67, 117, 72, 298, 742, 126, 425,, 1548,,, 42,, 322, 271, 69, 317,,, 3973,,,,, 610,,,, 3278,
 U11649, 98, 75, 184, 118,, 200, 1334,, 374,, 1001, 256, 143, 152, 2204, 132, 281,, 9913, 1144,,,,, 2140, 1991, 1475,,,
 U11650, 646, 525, 367, 108, 417, 885, 992,, 199,,, 52,, 98, 137, 1070, 62,,, 123,,,, 757,,,,,, 311
 U11651, 217, 371, 102, 171, 7327, 403, 192,, 226,,, 289,, 1506, 6235,, 3957,,, 255,,,, 1913, 1782,,,,,
 U11652, 1224, 418, 823, 51, 1039, 588, 123,, 4207,,, 1822, 1071, 3789, 431, 1038, 3039,,, 888,,,,,,, 574,, 297, 137
 U11653, 142, 43, 67, 56, 367, 235, 354, 1173, 359, 1194, 1005, 20, 668, 93, 556, 670, 125, 989, 3674, 554, 434, 725,, 1287, 1178, 492, 442,, 1529, 722
 U11669, 50, 138, 175, 118, 95, 79, 334,, 195,,, 45,, 130, 416, 201, 48,,, 433,,,,, 189,, 455,,,
 U11670, 22, 76, 41, 169, 58, 770, 157,, 101,,, 28,, 45, 467, 51, 44,, 150, 415,,,,, 128,,,,,
 U11671, 20, 75, 63, 32, 130, 131,,, 228, 212,, 36,, 43, 98, 32, 61,,, 75,,,, 237,,, 136,,,
 U11672, 85, 441, 162, 295, 525, 267,,, 210, 386, 576,,, 109,,, 69,,,,,,, 198,,,,,,
 U11673, 79, 489, 169, 45, 465, 123,,, 203,,, 384, 77, 191,, 744, 147,,, 66,,,,,,,,,,
 U11674, 124, 48, 56, 104, 194, 106, 292,, 173,,, 49, 320, 35, 138, 97, 103,, 148, 83,,,,, 328,, 269,, 510, 175
 U11675, 26, 204, 63, 44, 98, 62,, 353, 167,,, 251,, 156, 326, 25, 55,, 313,, 335,,,,,, 153,,,
 U11677, 129, 1235, 91, 293, 113, 220, 263,, 213,,, 332,, 145,, 472,, 431,, 202,,,, 282, 211,,,, 556,
 U11678, 69, 150, 77, 94, 245, 223, 170,, 146,,, 26,, 116, 156, 104, 102,,, 103,,,,,,,,,,
 U11679, 78, 157, 106, 48, 963, 152, 616,, 540,,, 969,, 60, 907, 837, 81,,, 1863,,,,,,,,,,
 U11680, 27, 45, 26, 58, 174, 53, 48, 359, 99,,, 47,, 123, 394, 226, 45,,, 198,,,, 1005,,,,,,
 U11682, 30, 52, 34, 55, 695, 156, 132,, 660, 2374,, 178, 1324, 104, 256, 1257, 54,, 717, 562,, 474,, 905, 292, 837, 422,, 1292,
 U11683, 50, 574, 150, 138, 1511,, 332,,,,, 229,, 1129,, 329, 147,,, 254, 1493,,,,,,,, 371,
 U11684, 385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11686, 53, 64, 72, 238, 358,, 1417,,, 579,, 576,, 83, 726, 77, 53,,, 1048, 221,,,,,, 160,, 477,
 U11706, 149, 48, 153, 70, 495, 1478, 283,, 642, 304, 715, 149, 1316, 75, 148, 317, 65,,, 849,,,,, 247,, 2285,, 720, 277
 U11707, 55, 242, 528, 173, 2086,,,, 342,,, 432,, 116, 551, 121, 174, 888, 682,,,,,, 194,,,,,
 U11708, 38, 270, 46, 46, 128, 201, 97,,,,, 19, 307, 14, 80, 191, 108,,, 160,,,, 433,,,,, 167,
 U11709, 127, 51, 84, 101, 680, 200, 69, 471, 390,,, 43,, 89,, 32, 94,,, 40,,,,, 1451,, 740,,, 345
 U11710, 95, 102, 1204, 563, 49, 115, 233,, 529,,, 117, 701, 152, 204, 328, 65,, 447, 759,,,,,,, 518,,, 1282
 U11711, 19,,,,,,,,,,,,,,,,, 666,,,,,,,,,,, 153,
 U11712, 116, 235, 147, 261, 193, 152, 731,, 1056,,, 423,, 167, 675, 690, 231,, 164, 49,,,, 361,,,,,,
 U11713, 102, 226, 119, 65, 266, 613, 346,, 1931,,, 65,, 107, 239, 278, 430,, 1315, 979,, 4999,,,,,,,,
 U11714, 78, 128, 78, 98,, 423, 200,, 681,,, 112,, 57, 675, 170, 115,,, 303,,,,,,,,,,
 U11715, 58, 184, 126, 175, 478, 675, 660,, 391, 2418,, 96,, 147, 774, 511, 147,,, 827,,,,, 1069,,,,,
 U11716, 113, 142, 154, 159, 864, 837, 884, 890, 1863,, 1205, 578,, 113, 129, 1580, 86, 1375, 536, 625, 791, 102,,, 2631,, 2142,, 965, 1787
 U11718,,, 55 92, 85, 350, 1248, 505,, 1177, 3178,, 336,, 333, 229, 475, 77,,, 203,,,,,,, 4925,, 4401,
 U11719, 141, 159, 395, 104,, 1016, 250,, 727,,, 39, 737, 83, 1787, 1326, 148,, 1873,,,,,,,,,,, 912
 U11720, 26, 51, 68, 778, 218, 615, 281, 273, 609, 230, 958, 21, 141, 26, 160, 257, 63, 514, 181, 46, 125, 323,, 220, 1972,, 193,, 45, 250
 U11721, 155, 73, 87, 58, 32, 1516, 516,, 305,,, 61,, 208, 122, 330, 72,,, 384, 986,,,,,, 458,,,
 U11722,,, 206 676, 3319,, 673, 314,, 704,,, 243,, 384, 2786, 732, 1997,,, 471,,,,, 585,,,,,
 U11723, 42, 68, 45, 129, 215, 541, 271,, 80,, 193, 98, 128, 100, 188, 77, 85,, 129, 148,,,, 887, 136,, 243,, 289, 782
 U11724, 391, 72, 150, 66, 121, 1830, 110,, 357,, 1278, 60, 685, 123,, 585, 71,,, 439,,,, 374,,,,,,
 U11725, 56, 716, 313, 202, 1219, 1441, 519,, 216,,, 1817,, 140, 1306, 566, 427, 2966, 347, 881,,,,, 207,,,,,
 U11726, 104, 63, 83, 87,,,,, 145,,, 243,, 186,, 172, 74,,,,,,,, 68,,,,,
 U11727, 122, 144, 100, 72, 188, 738, 394,, 886,,, 267, 927, 85, 251, 140, 100,, 857, 150,,,,,,,,,,
 U11728, 1490, 708, 995, 608, 515, 1005,,, 1807,, 504, 814,, 2024,, 523, 557,,,,,,, 679,,,,,,
 U11729, 138, 147, 226, 261, 437, 1219, 1143,, 963,,, 486, 2387, 275, 1041, 261, 168,, 189, 639,,,,, 1008,,,,,
 U11730, 147, 60, 68, 67, 671, 150, 1262, 2224, 316,,, 56,, 69, 1992, 4095, 75,,, 907,, 2050,,,,,,,,
 U11731, 30, 80, 28, 30, 43, 332, 42, 107, 326, 258,, 72,, 43, 83, 19, 53,,, 33,, 198,, 222,,,,, 3946, 371
 U11737, 15, 207, 430, 141, 475, 2302, 87, 2202, 467,,,,, 541,,, 790,,, 1161,,,,,,,,,,
 U11738, 129, 128, 53, 93, 143, 360, 124,, 175,, 599, 71, 144, 95, 274, 683, 216, 1075,, 110,,,,, 121,,,,,
 U11739, 88, 72, 63, 105, 357, 54, 53, 345,,,, 110,, 128, 112, 148, 114, 1686,, 55,,,,, 124,,,,,
 U11740, 104, 61, 67, 53, 361, 1636, 152,, 768,,, 3233, 159, 123, 475, 97, 186,, 809, 487,,,, 975, 467,, 275,, 556, 1060
 U11742, 34, 1031, 380, 154, 1884, 579, 1082,, 656,, 645, 193,, 152,, 246, 177,,,,,,, 519,,,,,,
 U11743, 60, 80, 43, 40, 104, 596, 268,,,,, 119, 253, 47, 134, 160, 58,,, 229,,,,,,,,, 275, 421
 U11744, 91, 793, 875, 563, 2767, 1435, 275,, 1116,,, 501,, 5073, 725, 764, 1357,,, 1173,,,, 511,,,,,,
 U11745, 169, 297, 354, 44, 257, 2429, 236,, 630,,, 119,, 74, 104, 606, 116,, 387, 471,,,,,,, 1091,,,
 U11747, 138, 150, 506, 226, 4619, 1406, 1049,, 2273,,, 716,, 265,, 2857, 211, 3939,, 263,,,, 2761, 4560,,,,,
 U11750, 60, 151, 57, 74, 131, 753, 162,, 303,,, 62,, 94, 474, 53, 62,, 136, 799,,,, 990, 108,, 282,, 939,
 U11751, 38, 52, 171, 420, 137, 481, 257,, 680,,, 226,, 83, 1095, 176, 214,,, 698, 1768,,,,,,,,,
 U11752, 154,, 112, 60,,,,,,,,,, 122,,,,,,,,,,,,,,,,
 U11754, 157, 322, 234, 226, 740, 208, 669,,,,, 422,, 93,, 70, 155,,,,,,,,,,,,,
 U11756, 79, 119, 296, 119, 450, 253, 268,, 374, 935,, 101,, 145, 916, 818, 141, 831, 436, 697,,,,, 320,, 851,,,
 U11757, 14,, 19,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11758, 75, 128, 637, 234, 521, 57, 503, 257, 495, 1490,, 146,, 375,,, 121,,, 689,,,, 671,,,,,,
 U11759, 65, 201, 70, 85, 273, 854, 245,, 2189, 2264,, 35, 1756, 79, 194, 512, 69, 852, 248, 273,, 2311,,,,,,,,
 U11760, 981, 136, 106, 608, 1794, 1928, 780,, 2118,,, 124,, 232, 273, 423, 132,, 1473, 2531,, 1226,,,,,,,,
 U11761, 36, 33, 35, 113, 54, 310, 76,, 88,,, 19, 242, 38,, 140, 49,,, 69,, 382,,, 141,,,, 211, 169
 U11762, 36, 100, 116, 248, 858, 241,,, 219,,, 846, 948, 66, 426, 642, 78,, 517, 243,,,,, 254,,,,,
 U11765, 156, 142, 70, 932, 255, 207, 1981,, 220, 3114, 262, 79,, 175, 1633, 464, 492,,, 1126,,,,, 3908,,,,,
 U11766, 82, 96, 61, 61, 124, 83, 481,, 381,,, 315,, 411, 311, 592, 93, 864,, 109,,,,, 1907,,,,,
 U11767, 53, 45, 98, 148, 389, 212, 72,, 552, 596,, 63,, 64, 273, 130, 64,, 345, 285,,,,,,, 197,,,
 U11768, 128, 128, 26, 86,, 44, 210,, 213, 328,, 87,, 301,, 48, 98, 263, 128, 180,,,, 323,,,,,,
 U11769, 101, 120, 62, 86, 581, 173, 328,, 402,,, 32, 583, 46, 461, 83, 83,,, 209,,,,, 2189,,,,,
 U11770, 40, 72, 254, 75, 229,, 270,,,,,,, 143,, 206, 122,,,,,,,,,,,,,
 U11771, 371, 371, 383, 382, 1816, 2049, 152, 792, 381, 490, 1467, 158,, 164,,, 139,,, 731,,,,, 1389,,,,,
 U11772, 52, 99, 81, 66, 1316, 209,,, 1394, 1625,, 92, 912, 114, 1520, 409, 133,, 258,,,,,,,,,,,
 U11773, 11, 44, 23, 36, 71, 91, 99,, 94,,, 43,, 77, 120, 77, 77,, 312, 392,,,,, 273,,,,,
 U11774, 237, 306, 315, 152, 351,, 209,, 434,,, 529,, 214,, 257, 143,,, 198,,,,,,,,,,
 U11775, 55, 54, 42, 106, 599, 235, 144,, 465,,, 64,, 153, 369, 202, 181,, 355, -1521,,,,, 544,,,,,
 U11776, 69, 93, 57, 88, 806, 394, 290, 1292, 2173,,, 386,, 96, 806, 262, 130,,, 357,, 1819,,,,,,,,
 U11777, 163, 131, 40, 197, 433, 276, 309,, 891,, 448, 66,, 424, 591, 691, 216,, 205, 236,,,,, 298,, 626,,,
 U11778, 70, 72, 127, 153, 694, 702, 150,, 439,,, 100,, 85,, 331, 154, 1294, 173, 1337,, 413,,,,,,,,
 U11779, 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U11780, 243, 125, 116, 194, 802, 261, 2253, 533, 397,,, 355, 1340, 146, 864, 449, 380,, 360, 1516,, 3387,, 3187, 1091,, 264,, 2618, 1840
 U11781, 42, 89, 158, 125,,,,,,,, 188,, 86,, 635, 116,,, 236,,,,, 503,,,,,
 U11782, 91, 91, 74, 314, 332, 547, 113,, 1369,,, 92,, 105, 891, 137, 90,,, 680,, 446,,, 233,,,,,
 U11783, 167, 55, 126, 76, 431, 169, 64,, 274,,, 61,, 1351, 148, 576, 60, 1633, 189, 44,,,,, 579,,,,,
 U11784, 566, 151, 1090, 123, 430, 148, 466,, 346,, 462, 101,, 340, 452, 228, 231,, 405, 304,,,,, 342,,,,,
 U11785, 145, 41, 81, 118, 624, 190, 158,, 240,,, 75,, 100,, 67, 94,,,,,,,, 400,,,,,
 U11787, 1003, 367, 527, 836,, 5623, 3183,, 2513,,, 303,, 1431, 8541, 3884, 448,,, 3691,,,,,,,,,,
